Id_lichens,Espece_lichens,Id_arbre,Id_quadrat
3656231,Parmelia sulcata,3656215,420
3656232,Pleurosticta acetabulum,3656215,421
3656233,Physconia distorta,3656215,422
3656234,Flavoparmelia caperata/soredians,3656215,423
3656235,autre lichen foliacé,3656215,424
3656236,Physconia distorta,3656215,425
3656237,Physcia adscendens/tenella,3656216,426
3656238,Physcia aipolia/stellaris,3656216,427
3656239,Phaeophyscia orbicularis,3656216,428
3656240,Candelaria concolor,3656216,429
3656241,Parmelia sulcata,3656216,430
3656242,Pleurosticta acetabulum,3656216,431
3656243,Physconia distorta,3656216,432
3656244,Evernia prunastri,3656216,433
3656245,Flavoparmelia caperata/soredians,3656216,434
3656246,autre lichen foliacé,3656216,435
3656247,Physconia grisea,3656216,436
3656248,Melanelixia glabratula/subaurifera,3656216,437
3656249,autre lichen foliacé,3656216,438
3657725,lichen crustacé à aspect poudreux,3657722,439
3657962,Physcia aipolia/stellaris,3657958,440
3657963,Phaeophyscia orbicularis,3657958,441
3657964,Physcia adscendens/tenella,3657958,442
3657965,Xanthoria parietina,3657958,443
3657966,Candelaria concolor,3657958,444
3657968,Pleurosticta acetabulum,3657958,445
3657969,Flavoparmelia caperata/soredians,3657958,446
3657970,Physcia aipolia/stellaris,3657959,447
3657971,Phaeophyscia orbicularis,3657959,448
3657972,Physcia adscendens/tenella,3657959,449
3657973,Candelaria concolor,3657959,450
3657974,Flavoparmelia caperata/soredians,3657959,451
3657975,Amandinea punctata/Lecidella elaeochroma,3657959,452
3657976,Lecanora sp.,3657959,453
3657977,Parmelia sulcata,3657959,454
3657978,autre lichen foliacé,3657959,455
3657979,Physcia aipolia/stellaris,3657960,456
3657980,Phaeophyscia orbicularis,3657960,457
3657981,Physcia adscendens/tenella,3657960,458
3657982,Xanthoria parietina,3657960,459
3657983,Candelaria concolor,3657960,460
3657984,Pleurosticta acetabulum,3657960,461
3657985,Flavoparmelia caperata/soredians,3657960,462
3657986,Evernia prunastri,3657960,463
3657987,Physconia grisea,3657960,464
3657988,Physcia leptalea,3657960,465
3657989,Melanohalea exasperata,3657960,466
3663574,Evernia prunastri,3663571,467
3663575,Parmelia sulcata,3663571,468
3663576,Phaeophyscia orbicularis,3663571,469
3663577,Flavoparmelia caperata/soredians,3663571,470
3663578,Amandinea punctata/Lecidella elaeochroma,3663571,471
3663579,Lecanora sp.,3663571,472
3663580,Lepraria incana,3663571,473
3663581,Punctelia sp.,3663571,474
3663582,Parmotrema perlatum/reticulatum,3663571,475
3663583,Physcia adscendens/tenella,3663571,476
3663584,Parmelia sulcata,3663572,477
3663585,Phaeophyscia orbicularis,3663572,478
3663586,Flavoparmelia caperata/soredians,3663572,479
3663587,Pertusaria amara,3663572,480
3663588,Amandinea punctata/Lecidella elaeochroma,3663572,481
3663589,Lecanora sp.,3663572,482
3663590,Punctelia sp.,3663572,483
3663591,Parmotrema perlatum/reticulatum,3663572,484
3663592,Physcia adscendens/tenella,3663572,485
3663597,Evernia prunastri,3663573,486
3663598,Parmelia sulcata,3663573,487
3663599,Phaeophyscia orbicularis,3663573,488
3663600,Flavoparmelia caperata/soredians,3663573,489
3663601,Phlyctis argena,3663573,490
3663602,Melanohalea exasperata,3663573,491
3663603,Amandinea punctata/Lecidella elaeochroma,3663573,492
3663604,Lecanora sp.,3663573,493
3663605,Lepraria incana,3663573,494
3663606,Punctelia sp.,3663573,495
3663608,Parmotrema perlatum/reticulatum,3663573,496
3663609,Physcia adscendens/tenella,3663573,497
3683858,Candelaria concolor,3683843,498
3683859,Amandinea punctata/Lecidella elaeochroma,3683843,499
3683860,Physcia adscendens/tenella,3683843,500
3683861,Phaeophyscia orbicularis,3683843,501
3683881,Candelaria concolor,3683866,502
3683882,Amandinea punctata/Lecidella elaeochroma,3683866,503
3683883,Physcia adscendens/tenella,3683866,504
3683884,Phaeophyscia orbicularis,3683866,505
3683885,Physcia adscendens/tenella,3683865,506
3683886,Amandinea punctata/Lecidella elaeochroma,3683865,507
3683887,Xanthoria parietina,3683865,508
3683888,Phaeophyscia orbicularis,3683865,509
3683889,Xanthoria parietina,3683864,510
3683890,Physcia adscendens/tenella,3683864,511
3683891,Flavoparmelia caperata/soredians,3683864,512
3683892,Candelaria concolor,3683864,513
3683893,Punctelia sp.,3683864,514
3683894,Amandinea punctata/Lecidella elaeochroma,3683864,515
3683895,Hyperphyscia adglutinata,3683864,516
3711162,Punctelia sp.,3711157,517
3711163,Candelaria concolor,3711157,518
3711164,Physcia adscendens/tenella,3711157,519
3711165,Xanthoria parietina,3711157,520
3711166,Amandinea punctata/Lecidella elaeochroma,3711157,521
3711167,Ramalina farinacea,3711157,522
3711168,lichen crustacé à aspect poudreux,3711157,523
3711169,Parmelia sulcata,3711157,524
3711170,Candelaria concolor,3711158,525
3711171,Physcia adscendens/tenella,3711158,526
3711172,Amandinea punctata/Lecidella elaeochroma,3711158,527
3711173,Punctelia sp.,3711159,528
3711174,Candelaria concolor,3711159,529
3711175,Physcia adscendens/tenella,3711159,530
3711176,Amandinea punctata/Lecidella elaeochroma,3711159,531
3711177,Ramalina farinacea,3711159,532
3711178,Lecanora sp.,3711159,533
3713208,Physcia adscendens/tenella,3713205,534
3713209,lichen crustacé à aspect poudreux,3713205,535
3713210,Lecanora sp.,3713205,536
3713211,Amandinea punctata/Lecidella elaeochroma,3713205,537
3713212,Xanthoria parietina,3713205,538
3713213,Punctelia sp.,3713205,539
3713214,Physcia adscendens/tenella,3713206,540
3713215,Punctelia sp.,3713206,541
3713216,Parmelia sulcata,3713206,542
3713217,Candelaria concolor,3713206,543
3713218,lichen crustacé à aspect poudreux,3713206,544
3713219,Physcia adscendens/tenella,3713207,545
3713220,Xanthoria parietina,3713207,546
3713221,Punctelia sp.,3713207,547
3721041,Xanthoria parietina,3721038,548
3721042,Physcia adscendens/tenella,3721038,549
3721043,Lecanora sp.,3721038,550
3721044,Phaeophyscia orbicularis,3721038,551
3721045,Xanthoria parietina,3721039,552
3721046,Physcia adscendens/tenella,3721039,553
3721047,Phaeophyscia orbicularis,3721039,554
3721048,Melanelixia glabratula/subaurifera,3721039,555
3721049,Xanthoria parietina,3721040,556
3721050,Physcia adscendens/tenella,3721040,557
3722750,Parmotrema perlatum/reticulatum,3722746,558
3722751,Flavoparmelia caperata/soredians,3722746,559
3722752,Ramalina fastigiata (Pers.) Ach. [1810],3722746,560
3722753,Punctelia sp.,3722746,561
3722754,Physcia adscendens/tenella,3722746,562
3722755,Xanthoria parietina (L.) Th.Fr. [1860],3722746,563
3722761,Parmelia sulcata Taylor s.l.,3722747,564
3722762,Flavoparmelia caperata/soredians,3722747,565
3722763,Physcia adscendens/tenella,3722747,566
3722764,Punctelia sp.,3722747,567
3722765,Ramalina fastigiata (Pers.) Ach. [1810],3722747,568
3722766,Lecanora sp.,3722747,569
3722767,Parmotrema perlatum/reticulatum,3722747,570
3722768,Phaeophyscia orbicularis (Neck.) Moberg [1977],3722747,571
3722769,Xanthoria parietina (L.) Th.Fr. [1860],3722747,572
3722770,Pertusaria pertusa (Weigel) Tuck.,3722747,573
3728362,Physcia adscendens/tenella,3728359,574
3728363,Xanthoria parietina (L.) Th.Fr. [1860],3728359,575
3728364,Physconia grisea (Lam.) Poelt [1965],3728359,576
3728365,Hyperphyscia adglutinata (Flörke) H.Mayrhofer & Poelt [1979],3728359,577
3728366,autre lichen foliacé,3728359,578
3728367,Lecanora sp.,3728359,579
3728368,Physcia aipolia/stellaris,3728359,580
3728369,Phaeophyscia orbicularis (Neck.) Moberg [1977],3728359,581
3728370,Melanohalea exasperata (DeNot.) O. Blanco,3728359,582
3728371,Amandinea punctata/Lecidella elaeochroma,3728359,583
3728373,Xanthoria parietina (L.) Th.Fr. [1860],3728360,584
3728374,Physconia grisea (Lam.) Poelt [1965],3728360,585
3728375,autre lichen foliacé,3728360,586
3728376,Physcia aipolia/stellaris,3728360,587
3728377,Melanohalea exasperata (DeNot.) O. Blanco,3728360,588
3728378,lichen crustacé à aspect poudreux,3728360,589
3728379,Pleurosticta acetabulum (Neck.) Elix & Lumbsch [1988],3728360,590
3728380,Physcia adscendens/tenella,3728361,591
3728381,Xanthoria parietina (L.) Th.Fr. [1860],3728361,592
3728382,Physconia grisea (Lam.) Poelt [1965],3728361,593
