Id_quadrat,Id_lichens,Id_arbre,Location_lichens_sur_arbre,Date_Observation
184,3650611,3650606,"['n1', 'e1', 'o1', 'n2', 's2', 'e2', 'o2', 'n3', 'e3', 'o3', 'n4', 'e4', 'o4', 'n5', 'e5', 'o5', '']",2019/12/26
185,3650612,3650606,"['n1', 'e1', 'o1', 'n2', 'o2', 'n3', 'o3', 's4', 'o4', 'n5', 'o5', '']",2019/12/26
186,3650613,3650606,"['n2', 'o2', 's4', 'o4', 'o5', '']",2019/12/26
187,3650614,3650606,"['o1', 'o2', 'n4', '']",2019/12/26
188,3650615,3650606,"['s1', 'e1', 'o1', 'o2', 'o3', 'o4', '']",2019/12/26
189,3650616,3650606,"['o3', '']",2019/12/26
190,3650617,3650606,"['o2', '']",2019/12/26
191,3650618,0,"['s1', 'e1', 'o1', 'n2', 's2', 'e2', 'o2', 'n3', 's3', 'e3', 'o3', 'n4', 'o4', 'e5', 'o5', '']",2019/12/26
192,3650619,0,"['n1', 's1', 'e1', 'n3', 's3', 'e3', 'o4', 'n5', 'e5', 'o5', '']",2019/12/26
193,3650620,0,"['n1', 's1', 'e1', 'n2', 's2', 'n3', 's3', 'e3', 'n4', 'n5', 'e5', '']",2019/12/26
194,3650621,0,"['n1', 's1', 'e1', 'n2', 's2', 'n4', 'e4', 'o4', '']",2019/12/26
195,3650622,0,"['e1', 'o1', 's2', 'e2', 'o2', 'e3', 'o3', 'e4', 'o4', 'e5', '']",2019/12/26
196,3650623,0,"['n1', 's1', 'e1', 'o1', 'n2', 's2', 'o2', 'n3', 's3', 'o3', 'n4', 'e4', 'o4', 'o5', '']",2019/12/26
197,3650624,0,"['s1', 'n3', 'n4', 'n5', '']",2019/12/26
198,3650625,0,"['e1', 'n2', 'e2', 'n3', 'e3', 'e4', 'e5', '']",2019/12/26
199,3650626,0,"['n1', 'e1', 'n2', 'e2', 'e3', 'e4', 'e5', '']",2019/12/26
200,3650627,0,Null,2019/12/26
201,3650628,0,"['o1', '']",2019/12/26
202,3650629,0,"['n1', 'n3', 'e4', '']",2019/12/26
203,3650630,0,"['n5', '']",2019/12/26
204,3650631,0,"['n5', '']",2019/12/26
205,3651602,3651276,"['n1', 's1', 'e1', 'o1', 'n2', 's2', 'e2', 'o2', 'n3', 's3', 'e3', 'o3', 'n4', 's4', 'e4', 'o4', 'n5', 's5', 'e5', 'o5', '']",2019/07/21
206,3651603,0,"['n1', 's1', 'e1', 'o1', 'n2', 's2', 'e2', 'o2', 'n3', 's3', 'e3', 'o3', 'n4', 's4', 'e4', 'o4', 'n5', 's5', 'e5', 'o5', '']",2019/07/21
207,3651604,0,"['s1', 'e1', 'o1', 'n2', 's2', 'e2', 's3', 'e3', 'o3', 'n4', 's4', 'e4', 'o4', 'n5', 's5', 'e5', '']",2019/07/21
208,3651605,3651276,"['n1', 's1', 'e1', 'o1', 'n2', 's2', 'e2', 'o2', 'n3', 's3', 'e3', 'o3', 'n4', 's4', 'e4', 'o4', 'n5', 's5', 'e5', 'o5', '']",2019/07/21
209,3651606,0,"['n1', 's1', 'e1', 'o1', 'n2', 's2', 'e2', 'o2', 'n3', 's3', 'e3', 'o3', 'n4', 's4', 'e4', 'o4', 'n5', 's5', 'e5', 'o5', '']",2019/07/21
210,3651607,0,"['n1', 's1', 'e1', 'o1', 'n2', 's2', 'e2', 'o2', 'n3', 's3', 'e3', 'o3', 'n4', 's4', 'e4', 'o4', 'n5', 's5', 'e5', 'o5', '']",2019/07/21
211,3651608,3651276,"['n1', 's1', 'e1', 'o1', 'n2', 's2', 'e2', 'o2', 'n3', 's3', 'e3', 'n4', 'e4', 'n5', '']",2019/07/21
212,3651609,0,"['s1', 'o1', 's2', 'n3', 's3', 'e3', 'o3', 's4', 'e4', 's5', 'e5', '']",2019/07/21
213,3651610,0,"['s1', 'e1', 'o1', 's2', 'e2', 'o2', 'n3', 's3', 'e3', 'o3', 's4', 'e4', 'o4', 's5', 'e5', 'o5', '']",2019/07/21
214,3651611,3651276,"['n1', 's1', 'o1', 'n2', 's2', 'o2', 'n3', 'e3', 'n4', 'n5', '']",2019/07/21
215,3651612,0,"['n1', 's1', 's5', '']",2019/07/21
216,3651613,0,"['o2', 'o3', 's4', 'o4', 'n5', 'o5', '']",2019/07/21
217,3651614,3651276,"['n2', '']",2019/07/21
218,3651615,0,"['e4', 'e5', '']",2019/07/21
