Id_arbre,Id_site,Latitude,Longitude,Espece_arbre,Famille,ext:num_arbre,ext:circonference
3743118,49.0415672.072071,49.04152,2.07208,Acer pseudoplatanus L.,Sapindaceae,2.0,110.0
3743119,49.0415672.072071,49.04145,2.07215,Acer pseudoplatanus L.,Sapindaceae,3.0,152.0
3743296,48.8303422.401811,48.83034,2.40181,platyphyllos ,Null,1.0,100.0
3743297,48.8303422.401811,48.8304,2.40187,platyphyllos ,Null,2.0,110.0
3743298,48.8303422.401811,48.83048,2.40192,x hispanica,Null,3.0,140.0
3743306,48.8298482.404954,48.82985,2.40495,Nigra ,Null,1.0,150.0
3743307,48.8298482.404954,48.82982,2.40489,Nigra ,Null,2.0,160.0
3743308,48.8298482.404954,48.82985,2.40495,Tomentosa,Null,3.0,240.0
3743620,48.8314862.404608,48.83195,2.40403,Sophora japonica L.,Fabaceae,1.0,170.0
3743699,48.8325162.404196,48.83252,2.4042,Robinia x ambigua Poir. [1816],Fabaceae,1.0,115.0
3743700,48.8325162.404196,48.83485,2.40806,Corylus colurna L. [1753],Betulaceae,2.0,38.0
3743701,48.8325162.404196,48.83485,2.40806,Corylus colurna L. [1753],Betulaceae,3.0,225.0
3743711,48.8306582.406725,48.83065,2.40681,Platanus occidentalis L.,Platanaceae,1.0,50.0
3743713,48.830662.409668,48.83063,2.40963,Salix babylonica L.,Salicaceae,1.0,40.0
3743721,48.8307052.406718,48.83065,2.40681,Platanus occidentalis L.,Platanaceae,1.0,50.0
3743781,48.8325162.404196,48.83252,2.4042,Ulmus,Null,1.0,116.0
3743782,48.8325162.404196,48.83252,2.4042,Pseudoacacia,Null,2.0,90.0
3743783,48.8325162.404196,48.83252,2.4042,Ulmus,Null,3.0,110.0
3743799,48.8336472.413347,48.83477,2.40847,Hippocastanum aesculus Cav.,Sapindaceae,1.0,70.0
3743800,48.8336472.413347,48.83472,2.4086,Hippocastanum aesculus Cav.,Sapindaceae,2.0,70.0
3743801,48.8336472.413347,48.83468,2.40872,Hippocastanum aesculus Cav.,Sapindaceae,3.0,100.0
3743802,48.8336472.413347,48.83145,2.40436,Japonica,Null,4.0,150.0
3743803,48.8336472.413347,48.8314,2.40442,Hippocastanum aesculus Cav.,Sapindaceae,5.0,90.0
3743804,48.8336472.413347,48.82916,2.40945,Platanoides,Sapindaceae,6.0,70.0
3743805,48.8336472.413347,48.82916,2.4094,Platanoides,Sapindaceae,7.0,70.0
3743820,48.8307592.399352,48.83076,2.39935,Platinoïdes,Null,1.0,40.0
3743821,48.8307592.399352,48.83076,2.39935,Cedrus libani A.Rich.,Pinaceae,2.0,99.0
3743822,48.8307592.399352,48.83076,2.39935,Robinia pseudoacacia L.,Fabaceae,3.0,149.0
3743880,48.831252.404267,48.83161,2.40418,Aesculus hippocastanum L.,Sapindaceae,1.0,170.0
3743881,48.831252.404267,48.83159,2.40408,Aesculus hippocastanum L.,Sapindaceae,2.0,120.0
3743882,48.831252.404267,48.83154,2.40415,Aesculus hippocastanum L.,Sapindaceae,3.0,140.0
3743899,48.8327692.405044,48.83276,2.40504,Fagus sylvatica subsp. sylvatica,Fagaceae,1.0,134.0
3743903,48.8327582.405044,48.83276,2.40504,Fagus sylvatica subsp. sylvatica,Fagaceae,1.0,195.0
3743907,48.8327582.405044,48.83276,2.40504,Fagus sylvatica subsp. sylvatica,Fagaceae,1.0,195.0
3743910,48.8298642.405141,48.82987,2.40509,Pinus nigra var. nigra,Pinaceae,1.0,60.0
3743911,48.8298642.405141,48.82985,2.40495,Avium Prunus,Pinaceae,2.0,50.0
3743912,48.8298642.405141,48.82986,2.40508,Pinus nigra var. nigra,Pinaceae,3.0,50.0
3743913,48.8321922.404643,48.83225,2.40479,Pinus nigra var. nigra,Pinaceae,1.0,100.0
3743914,48.8321922.404643,48.83243,2.40462,Japonica Sophora,Pinaceae,2.0,150.0
3743915,48.8321922.404643,48.83201,2.40416,Hippocastanum aesculus Cav.,Sapindaceae,3.0,90.0
3745043,43.0514310.146953,43.05214,0.14771,Fagus sylvatica L.,Fagaceae,1.0,114.0
3745044,43.0514310.146953,43.052,0.14763,Fagus sylvatica L.,Fagaceae,2.0,37.0
3745045,43.0514310.146953,43.05199,0.14785,Fagus sylvatica L.,Fagaceae,3.0,20.0
3746187,45.8260741.233323,45.82611,1.23338,Gleditsia triacanthos L.,Fabaceae,1.0,64.0
3746188,45.8260741.233323,45.82611,1.2335,Acer platanoides L.,Sapindaceae,2.0,134.0
3746209,45.8262461.23351,45.82619,1.23354,Acer platanoides subsp. platanoides,Sapindaceae,1.0,59.0
3747606,47.3449155.046228,47.34478,5.04647,Sycomore,Null,1.0,62.0
3747607,47.3449155.046228,47.34535,5.04582,Sycomore,Null,2.0,47.0
3751185,45.8307021.252323,45.83058,1.25202,Acer platanoides L.,Sapindaceae,1.0,125.0
3751187,45.8305921.252098,45.83059,1.25203,Acer platanoides L.,Sapindaceae,1.0,125.0
3751188,45.8305921.252098,45.83061,1.2521,Acer platanoides L.,Sapindaceae,2.0,87.0
3751189,45.8305921.252098,45.83071,1.25212,Acer platanoides L.,Sapindaceae,3.0,95.0
3751921,45.6020214.709101,45.60279,4.70764,Prunus spinosa L.,Rosaceae,1.0,2.0
3752643,45.6048324.734249,45.60469,4.73415,Acer pseudoplatanus L.,Sapindaceae,1.0,25.0
3753044,44.622972-1.137369,44.623,-1.13747,érable,Null,1.0,145.0
3753045,44.622972-1.137369,44.62293,-1.13749,érable,Null,2.0,155.0
3753046,44.622972-1.137369,44.62302,-1.13757,érable,Null,3.0,150.0
3757705,45.8262241.248472,45.82622,1.24843,Tilia tomentosa 'Petiolaris',Malvaceae,1.0,92.0
3757706,45.8262241.248472,45.82623,1.24833,Tilia tomentosa 'Petiolaris',Malvaceae,2.0,94.0
3757707,45.8262241.248472,45.82635,1.2481,Tilia tomentosa 'Petiolaris',Malvaceae,3.0,129.0
3757856,43.561231.447665,43.56123,1.44767,Acer platane,Null,1.0,122.0
3757857,43.561231.447665,43.56123,1.44767,Acer platane,Null,2.0,74.0
3757858,43.561231.447665,43.56123,1.44767,Acer platane,Null,3.0,104.0
3767270,48.6950046.208037,48.69834,6.20443,Prunus serrulata Lindl.,Rosaceae,1.0,50.0
3767271,48.6983756.204384,48.69835,6.20445,Prunus serrulata Lindl.,Rosaceae,1.0,50.0
3767272,48.6983756.204384,48.69825,6.20445,Prunus serrulata Lindl.,Rosaceae,2.0,60.0
3781299,45.7428824.71441,45.74148,4.71419,Quercus robur L.,Fagaceae,1.0,72.0
3781300,45.7428824.71441,45.74148,4.71419,Quercus robur L.,Fagaceae,2.0,88.0
3781301,45.7428824.71441,45.74148,4.71419,Quercus robur L.,Fagaceae,3.0,83.0
3784447,48.6019852.039337,-48.56933,-70.16068,z,Null,1.0,5.0
3784807,45.74953.09873,45.74946,3.09886,Fraxinus L.,Oleaceae,1.0,42.0
3784808,45.74953.09873,45.74943,3.09884,Fraxinus L.,Oleaceae,2.0,67.0
3784809,45.74953.09873,45.74934,3.0986,Fraxinus L.,Oleaceae,3.0,60.0
3784820,45.749223.09913,45.74937,3.09931,Acer pseudoplatanus L.,Sapindaceae,1.0,54.0
3784821,45.749223.09913,45.7493,3.09928,Acer pseudoplatanus L.,Sapindaceae,2.0,52.0
3784822,45.749223.09913,45.74926,3.09922,Acer pseudoplatanus L.,Sapindaceae,3.0,34.0
3788567,48.9020952.453059,48.90205,2.45309,Erable,Null,1.0,23.0
3788568,48.9020952.453059,48.90206,2.45309,Erable,Null,2.0,25.0
3788569,48.9020952.453059,48.90209,2.45308,Erable,Null,3.0,25.0
3788575,48.9020852.452978,48.90202,2.4531,Erable,Null,1.0,22.0
3788576,48.9020852.452978,48.90205,2.45309,Erable,Null,2.0,24.0
3788577,48.9020852.452978,48.90209,2.45307,Erable,Null,3.0,25.0
3788602,48.8815792.50616,48.88151,2.50603,Tilia sp.,Null,1.0,50.0
3788603,48.8815792.50616,48.88145,2.50603,Tilia sp.,Null,2.0,50.0
3788604,48.8815792.50616,48.88145,2.50595,Tilia sp.,Null,3.0,50.0
3788707,45.8318471.264415,45.83185,1.26444,Tilia L.,Malvaceae,1.0,92.0
3788708,45.8318471.264415,45.83189,1.26448,Acer platanoides L.,Sapindaceae,2.0,66.0
3788709,45.8318471.264415,45.83194,1.26445,Acer platanoides L.,Sapindaceae,3.0,69.0
3790469,48.83802545062072.3949211836952604,48.83797,2.3948,Sorbus aucuparia L.,Rosaceae,1.0,41.0
3790470,48.83802545062072.3949211836952604,48.838,2.39486,Sorbus aucuparia L.,Rosaceae,2.0,47.0
3790471,48.83802545062072.3949211836952604,48.83803,2.39493,Sorbus aucuparia L.,Rosaceae,3.0,43.0
