Espèce,Identifiant,Numéro nomenclatural,Numéro nomenclatural nom retenu,Spontanéité,Latitude,Longitude,Identifiant Commune,Altitude,Indicateur de fiabilité,Détermination validée sur IdentiPlante,Score IdentiPlante,Présence d'un échantillon d'herbier,ext:latitude-releve,ext:longitude-releve,ext:num_arbre,ext:id_obs_arbre
Bleu parméllia,3743817,0.0,0.0,1,48.829159999999995,2.4094,94067.0,49,2,0,0.0,0,0.0,0.0,0.0,3743805.0
Candelaria concolor,95288540,1528592.0,1528592.0,26,1217.5122,75.76249,1357972.0,7753,68,0,-6.0,0,0.0,0.0,0.0,91634758.0
Candelaria concolor ,250236729,3821480.0,3821480.0,66,3120.1099,149.55222,4478798.0,12460,192,0,6.0,0,0.0,0.0,0.0,250235486.0
Candelaria concolor (Dicks.) Stein,145773136,2292888.0,2292888.0,39,1856.2904899999999,97.88643999999996,2430734.0,7249,107,0,12.0,0,0.0,0.0,0.0,145772608.0
Candelaria xanthostigma,3609330,0.0,0.0,1,45.82575,1.23837,87085.0,293,3,0,0.0,0,0.0,0.0,0.0,3609322.0
Candelariella sp.,151364637,7611840.0,7611840.0,40,1920.96505,101.82882000000001,3006185.0,6772,119,0,0.0,0,0.0,0.0,0.0,151364034.0
Candelariella xanthostigma (Pers.) Lettau,15062122,0.0,0.0,4,183.31068999999997,5.00934,348340.0,1090,8,0,0.0,0,0.0,0.0,0.0,15061826.0
Carpinus betulus L.,11209929,43911.0,43911.0,3,151.82701,9.402140000000001,177027.0,133,9,0,6.0,0,151.827111,9.401955000000001,6.0,0.0
Castanea sativa Mill.,3730100,14752.0,14752.0,1,48.87527,2.20945,92050.0,126,3,0,0.0,0,48.875295,2.2094400000000003,2.0,0.0
Catalpa bignonioides ,10961388,0.0,0.0,3,137.24559,9.2562,189096.0,1275,6,0,0.0,0,0.0,0.0,6.0,0.0
Catalpa bignonioides Walter,7468161,29562.0,29562.0,2,93.42407,2.57076,128103.0,403,5,0,0.0,0,93.42415120000001,2.5702818,3.0,0.0
Cedrus libani A.Rich.,3743821,14941.0,14941.0,1,48.83076,2.39935,75056.0,10,3,0,0.0,0,48.830759,2.399352,2.0,0.0
